"16-05-2024 23:10:00",13257,9.24,0.54,1.18,2.08
"16-05-2024 23:20:00",13258,9.43,0.56,1.21,2.02
"16-05-2024 23:30:00",13259,8.56,0.58,1.18,1.94
"16-05-2024 23:40:00",13260,8.65,0.60,1.13,1.75
"16-05-2024 23:50:00",13261,8.70,0.62,1.14,1.59
"17-05-2024 00:00:00",13262,8.74,0.62,1.13,1.70
"17-05-2024 00:10:00",13263,9.35,0.64,1.18,1.62
"17-05-2024 00:20:00",13264,8.68,0.62,1.13,1.64
"17-05-2024 00:30:00",13265,9.45,0.62,1.18,1.68
"17-05-2024 00:40:00",13266,8.57,0.60,1.13,1.74
"17-05-2024 00:50:00",13267,8.19,0.60,1.12,1.67
"17-05-2024 01:00:00",13268,8.96,0.61,1.07,1.62
"17-05-2024 01:10:00",13269,8.11,0.60,1.12,1.62
"17-05-2024 01:20:00",13270,7.90,0.62,1.09,1.67
"17-05-2024 01:30:00",13271,8.17,0.62,1.07,1.58
"17-05-2024 01:40:00",13272,8.72,0.63,1.08,1.69
"17-05-2024 01:50:00",13273,8.80,0.61,1.12,1.59
"17-05-2024 02:00:00",13274,9.45,0.58,1.16,1.60
"17-05-2024 02:10:00",13275,10.14,0.60,1.10,1.72
"17-05-2024 02:20:00",13276,10.36,0.61,1.05,1.60
"17-05-2024 02:30:00",13277,11.28,0.60,1.00,1.69
"17-05-2024 02:40:00",13278,11.36,0.58,1.02,1.69
"17-05-2024 02:50:00",13279,11.06,0.57,1.04,1.71
"17-05-2024 03:00:00",13280,9.95,0.59,1.03,1.87
"17-05-2024 03:10:00",13281,10.94,0.58,1.01,2.03
"17-05-2024 03:20:00",13282,10.12,0.57,1.00,1.85
"17-05-2024 03:30:00",13283,9.99,0.58,0.96,1.98
"17-05-2024 03:40:00",13284,9.13,0.56,0.98,1.87
"17-05-2024 03:50:00",13285,8.72,0.56,0.97,2.04
"17-05-2024 04:00:00",13286,8.64,0.58,0.98,1.91
"17-05-2024 04:10:00",13287,9.40,0.57,0.95,1.98
"17-05-2024 04:20:00",13288,10.27,0.58,0.94,1.79
"17-05-2024 04:30:00",13289,9.25,0.59,0.91,1.75
"17-05-2024 04:40:00",13290,8.65,0.60,0.89,1.64
"17-05-2024 04:50:00",13291,9.25,0.58,0.86,1.49
"17-05-2024 05:00:00",13292,8.96,0.58,0.84,1.42
"17-05-2024 05:10:00",13293,9.48,0.57,0.87,1.38
"17-05-2024 05:20:00",13294,10.39,0.57,0.88,1.49
"17-05-2024 05:30:00",13295,10.90,0.54,0.91,1.43
"17-05-2024 05:40:00",13296,11.95,0.53,0.90,1.45
"17-05-2024 05:50:00",13297,12.94,0.53,0.89,1.51
"17-05-2024 06:00:00",13298,13.01,0.53,0.85,1.39
"17-05-2024 06:10:00",13299,13.17,0.55,0.81,1.33
"17-05-2024 06:20:00",13300,13.20,0.52,0.78,1.28
"17-05-2024 06:30:00",13301,14.12,0.54,0.77,1.40
"17-05-2024 06:40:00",13302,13.61,0.52,0.74,1.47
"17-05-2024 06:50:00",13303,14.02,0.53,0.73,1.56
"17-05-2024 07:00:00",13304,15.02,0.51,0.72,1.68
"17-05-2024 07:10:00",13305,15.84,0.52,0.70,1.79
"17-05-2024 07:20:00",13306,14.70,0.53,0.67,1.92
"17-05-2024 07:30:00",13307,14.81,0.52,0.70,2.00
"17-05-2024 07:40:00",13308,16.06,0.54,0.71,1.95
"17-05-2024 07:50:00",13309,17.38,0.53,0.74,2.01
